level,target_grade,old_difficulty_coef,new_difficulty_coef,old_recommended_power,new_recommended_power,old_expected_star,new_expected_star,old_mob_hp_share,new_mob_hp_share,old_boss_hp_share,new_boss_hp_share,old_line_expected_breach,new_line_expected_breach,median_progress_pct,median_base_pct,worst_seed_base_pct,median_duration_s,median_boss_phase_s,wins
73,light_pressure,3.1866,10.12,731,731,2,3,1.0,1.0,0.0,0.0,364.0,66.7,58.981,100.0,100.0,105.725,0.0,10
74,pressure,3.2947,23.0,719,719,2,3,1.0,1.0,0.0,0.0,295.7,81.25,83.38,92.785,52.827,147.617,0.0,10
75,high,3.4167,9.0,783,783,2,2,0.1647,0.4986,0.8353,0.5014,463.68,171.29,98.498,66.874,26.292,185.125,78.842,10
76,pressure,3.011,38.0,818,818,2,3,1.0,1.0,0.0,0.0,381.1,77.5,83.55,91.188,77.607,159.242,0.0,10
77,pressure,3.9202,31.0,871,871,2,3,1.0,1.0,0.0,0.0,396.8,89.1,86.319,81.087,46.572,149.383,0.0,10
78,pressure,3.5082,42.0,905,905,2,3,1.0,1.0,0.0,0.0,363.0,69.55,83.136,77.208,27.535,168.892,0.0,10
79,pressure,2.2314,24.0,1059,1059,2,3,1.0,1.0,0.0,0.0,486.65,87.3,87.145,89.853,79.924,129.633,0.0,10
80,high,3.9983,11.0,989,989,2,2,0.134,0.5238,0.866,0.4762,566.39,196.8,100.0,62.007,5.18,156.492,74.542,10
81,light_pressure,4.067,11.6365,915,915,2,3,1.0,1.0,0.0,0.0,336.6,70.0,63.215,100.0,98.471,112.817,0.0,10
82,light_pressure,4.91,15.0,924,924,2,3,1.0,1.0,0.0,0.0,328.05,70.0,85.184,100.0,74.16,120.325,0.0,10
83,pressure,3.5103,26.0,1080,1080,2,3,1.0,1.0,0.0,0.0,440.7,88.2,96.021,89.256,73.842,141.725,0.0,10
84,pressure,4.4458,35.0,904,904,2,3,1.0,1.0,0.0,0.0,337.15,57.3,84.992,94.347,34.284,133.783,0.0,10
85,high,4.5979,20.0,1109,1109,2,2,0.1496,0.5494,0.8504,0.4506,592.69,249.0,100.0,43.526,11.074,196.925,98.367,10
86,pressure,2.6593,29.0,1179,1179,2,3,1.0,1.0,0.0,0.0,483.0,104.75,92.731,85.641,60.846,151.4,0.0,10
87,pressure,2.7276,29.0,1170,1170,2,3,1.0,1.0,0.0,0.0,511.0,95.9,85.787,87.923,60.252,143.692,0.0,10
88,pressure,4.1575,32.0,1091,1091,2,3,1.0,1.0,0.0,0.0,418.3,80.9,91.908,94.361,84.888,125.567,0.0,10
89,pressure,5.1302,22.2,1215,1215,2,3,1.0,1.0,0.0,0.0,504.2,46.2,46.235,98.931,33.29,76.183,0.0,10
90,high,4.0154,7.0,1199,1199,2,2,0.1262,0.3027,0.8738,0.6973,542.77,47.15,100.0,52.988,43.328,126.258,100.483,10
91,light_pressure,6.625,15.0,854,854,3,3,1.0,1.0,0.0,0.0,256.4,64.9,57.571,100.0,100.0,88.975,0.0,10
92,pressure,4.5954,23.0,1212,1212,2,3,1.0,1.0,0.0,0.0,491.45,113.5,100.0,92.466,39.589,136.575,0.0,10
93,pressure,4.6469,28.0,1206,1206,2,3,1.0,1.0,0.0,0.0,430.1,89.0,88.984,95.134,75.883,143.525,0.0,10
94,pressure,4.3988,23.5,1340,1340,2,3,1.0,1.0,0.0,0.0,544.0,99.8,91.376,92.742,59.988,130.142,0.0,10
95,high,4.7188,10.5,1348,1348,2,1,0.0894,0.4172,0.9106,0.5828,707.06,81.0,100.0,32.166,1.41,191.758,147.308,10
96,pressure,6.385,28.5,1172,1172,2,3,1.0,1.0,0.0,0.0,398.8,132.9,82.127,95.026,71.628,165.225,0.0,10
97,pressure,6.618,18.0,1132,1132,2,3,1.0,1.0,0.0,0.0,340.25,114.9,84.781,89.625,77.176,119.625,0.0,10
98,pressure,8.2394,22.0,1181,1181,2,3,1.0,1.0,0.0,0.0,388.5,114.0,92.945,93.253,86.432,159.7,0.0,10
99,high,4.3779,11.0,1437,1437,2,2,0.0707,0.3994,0.9293,0.6006,772.76,84.04,100.0,58.619,6.548,228.65,153.367,10
