level,old_build,new_build,old_skills,new_skills,old_gold_before,new_gold_before,old_gold_earned,new_gold_earned,old_xp_before,new_xp_before,old_xp_earned,new_xp_earned,old_stars_before,new_stars_before,build_changed
019,char=vanguard@9;weapon=weapon_scattergun@11;armor=armor_kevlar@8;chip=none@1;pet=none@1;sig=1,char=vanguard@9;weapon=weapon_scattergun@11;armor=armor_kevlar@8;chip=none@1;pet=none@1;sig=1,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,28,28,3002,3002,675,675,803,803,11,11,no
020,char=vanguard@10;weapon=weapon_scattergun@12;armor=armor_kevlar@8;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@12;armor=armor_kevlar@8;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:1|skill_split_shot:1,633,633,3399,3399,278,278,929,929,13,13,no
021,char=vanguard@10;weapon=weapon_scattergun@13;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@13;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:1,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:1,156,156,2930,2930,307,307,701,701,1,1,no
022,char=vanguard@10;weapon=weapon_scattergun@14;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@14;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,402,402,3151,3151,108,108,738,738,3,3,no
023,char=vanguard@10;weapon=weapon_scattergun@15;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@15;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:1|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,519,519,3589,3589,846,846,870,870,5,5,no
024,char=vanguard@10;weapon=weapon_scattergun@16;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@16;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:1|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,724,724,3349,3349,816,816,797,797,7,7,no
025,char=vanguard@10;weapon=weapon_scattergun@17;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@17;armor=armor_kevlar@9;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,35,35,4006,4006,713,713,935,935,1,1,no
026,char=vanguard@10;weapon=weapon_scattergun@18;armor=armor_kevlar@10;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@18;armor=armor_kevlar@10;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:2|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,174,174,3954,3954,1648,1648,935,935,3,3,no
027,char=vanguard@10;weapon=weapon_scattergun@19;armor=armor_kevlar@10;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@19;armor=armor_kevlar@10;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,726,726,3651,3651,583,583,736,736,5,5,no
028,char=vanguard@10;weapon=weapon_scattergun@20;armor=armor_kevlar@10;chip=none@1;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@20;armor=armor_kevlar@10;chip=none@1;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:2|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,681,681,3902,3902,1319,1319,845,845,7,7,no
029,char=vanguard@10;weapon=weapon_scattergun@21;armor=armor_kevlar@10;chip=chip_attack@7;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@21;armor=armor_kevlar@10;chip=chip_attack@4;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,278,58,4136,4136,164,164,864,864,1,1,yes
030,char=vanguard@10;weapon=weapon_scattergun@22;armor=armor_kevlar@10;chip=chip_attack@7;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@21;armor=armor_kevlar@10;chip=chip_attack@6;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,50,222,4359,4359,1028,1028,828,828,3,3,yes
031,char=vanguard@10;weapon=weapon_scattergun@23;armor=armor_kevlar@10;chip=chip_attack@7;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@22;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:2|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,167,243,4710,4710,1856,1856,966,966,5,5,yes
032,char=vanguard@10;weapon=weapon_scattergun@24;armor=armor_kevlar@10;chip=chip_attack@7;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@23;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,37,239,4392,4392,822,822,907,907,7,7,yes
033,char=vanguard@10;weapon=weapon_scattergun@25;armor=armor_kevlar@10;chip=chip_attack@7;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@24;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:2|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,433,203,3959,3959,1729,1729,727,727,1,1,yes
034,char=vanguard@10;weapon=weapon_scattergun@26;armor=armor_kevlar@10;chip=chip_attack@8;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@24;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,84,670,4983,4983,456,456,958,958,3,3,yes
035,char=vanguard@10;weapon=weapon_scattergun@27;armor=armor_kevlar@10;chip=chip_attack@8;pet=none@1;sig=2,char=vanguard@10;weapon=weapon_scattergun@25;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:2|skill_slow_field:2|skill_split_shot:2,243,73,6175,6175,1414,1414,1349,1349,5,5,yes
036,char=vanguard@10;weapon=weapon_scattergun@28;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,char=vanguard@11;weapon=weapon_scattergun@26;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:2|skill_split_shot:2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:2|skill_split_shot:2,344,672,4962,4962,763,763,1011,1011,7,7,yes
037,char=vanguard@10;weapon=weapon_scattergun@29;armor=armor_kevlar@10;chip=chip_attack@9;pet=none@1;sig=2,char=vanguard@11;weapon=weapon_scattergun@27;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:2|skill_split_shot:2,skill_barrier:3|skill_charge_shot:2|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:2|skill_split_shot:2,536,171,5660,5660,1774,1774,1156,1156,9,9,yes
038,char=vanguard@10;weapon=weapon_scattergun@30;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=2,char=vanguard@11;weapon=weapon_scattergun@28;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:2|skill_split_shot:2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:2|skill_split_shot:2,211,43,6024,6024,930,930,1195,1195,11,11,yes
039,char=vanguard@10;weapon=weapon_scattergun@31;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=2,char=vanguard@11;weapon=weapon_scattergun@29;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:2,289,793,5463,5463,125,125,976,976,13,13,yes
040,char=vanguard@10;weapon=weapon_scattergun@32;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=2,char=vanguard@11;weapon=weapon_scattergun@30;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:2,478,730,6602,6602,1101,1101,1308,1308,15,15,yes
041,char=vanguard@10;weapon=weapon_scattergun@33;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=2,char=vanguard@11;weapon=weapon_scattergun@31;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,370,34,6526,6526,409,409,1310,1310,1,1,yes
042,char=vanguard@10;weapon=weapon_scattergun@34;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=2,char=vanguard@12;weapon=weapon_scattergun@32;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=2,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,28,224,6067,6067,1719,1719,1064,1064,3,3,yes
043,char=vanguard@10;weapon=weapon_scattergun@35;armor=armor_kevlar@10;chip=chip_attack@10;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@33;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,93,765,7053,7053,83,83,1311,1311,5,5,yes
044,char=vanguard@10;weapon=weapon_scattergun@36;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@34;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:2|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,28,54,6873,6873,1394,1394,1246,1246,7,7,yes
045,char=vanguard@10;weapon=weapon_scattergun@37;armor=armor_kevlar@10;chip=chip_attack@11;pet=none@1;sig=3,char=vanguard@12;weapon=weapon_scattergun@35;armor=armor_kevlar@10;chip=chip_attack@12;pet=none@1;sig=3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,skill_barrier:3|skill_charge_shot:3|skill_critical:3|skill_homing:3|skill_multishot:3|skill_pierce:3|skill_ricochet:2|skill_salvo:3|skill_slow_field:3|skill_split_shot:3,199,477,7287,7287,640,640,1374,1374,9,9,yes
