level,chapter,next_chapter_target,next_chapter_weakness,legacy_weapon,legacy_weapon_level,legacy_effective_power,v2_weapon,v2_weapon_level,v2_effective_power,weapon_changed,level_delta,v2_purchases_after_clear,v2_preferred_next_weapon,v2_catch_up_target_weapon,v2_priority_gold_spent
54,6,7,lightning,weapon_scattergun,29,690,weapon_scattergun,37,295,False,8,,weapon_scattergun,weapon_teslacoil,0
55,6,7,lightning,weapon_scattergun,29,572,weapon_scattergun,37,237,False,8,,weapon_scattergun,weapon_teslacoil,0
56,6,7,lightning,weapon_scattergun,29,946,weapon_scattergun,37,397,False,8,,weapon_scattergun,weapon_teslacoil,0
57,6,7,lightning,weapon_scattergun,29,1895,weapon_scattergun,37,795,False,8,,weapon_scattergun,weapon_teslacoil,4716
58,6,7,lightning,weapon_scattergun,30,1156,weapon_scattergun,38,467,False,8,,weapon_venomlauncher,weapon_teslacoil,2256
59,6,7,lightning,weapon_scattergun,30,1502,weapon_venomlauncher,14,666,True,-16,,weapon_scattergun,weapon_teslacoil,0
60,6,7,lightning,weapon_scattergun,31,955,weapon_scattergun,38,382,False,7,,weapon_scattergun,weapon_teslacoil,7098
61,7,8,fire,weapon_scattergun,32,1278,weapon_scattergun,39,508,False,7,,weapon_venomlauncher,weapon_flamethrower,2424
62,7,8,fire,weapon_scattergun,32,1356,weapon_venomlauncher,15,572,True,-17,,weapon_scattergun,weapon_flamethrower,0
63,7,8,fire,weapon_scattergun,32,1353,weapon_scattergun,39,513,False,7,,weapon_scattergun,weapon_flamethrower,0
64,7,8,fire,weapon_scattergun,32,1577,weapon_scattergun,39,601,False,7,,weapon_scattergun,weapon_flamethrower,0
65,7,8,fire,weapon_scattergun,32,2536,weapon_scattergun,39,967,False,7,,weapon_scattergun,weapon_flamethrower,4968
66,7,8,fire,weapon_scattergun,33,1991,weapon_scattergun,40,756,False,7,,weapon_scattergun,weapon_flamethrower,0
67,7,8,fire,weapon_scattergun,33,1223,weapon_scattergun,40,451,False,7,,weapon_scattergun,weapon_flamethrower,0
68,7,8,fire,weapon_scattergun,33,3144,weapon_scattergun,40,1395,False,7,,weapon_scattergun,weapon_flamethrower,0
69,7,8,fire,weapon_scattergun,34,1829,weapon_scattergun,40,802,False,6,,weapon_scattergun,weapon_flamethrower,0
70,7,8,fire,weapon_scattergun,34,4953,weapon_scattergun,40,2108,False,6,,weapon_scattergun,weapon_flamethrower,0
71,8,9,fire,weapon_scattergun,34,518,weapon_scattergun,40,217,False,6,,weapon_scattergun,weapon_flamethrower,0
72,8,9,fire,weapon_scattergun,34,529,weapon_scattergun,40,221,False,6,,weapon_scattergun,weapon_flamethrower,0
73,8,9,fire,weapon_scattergun,34,651,weapon_scattergun,40,267,False,6,,weapon_scattergun,weapon_flamethrower,0
74,8,9,fire,weapon_scattergun,34,489,weapon_scattergun,40,200,False,6,,weapon_scattergun,weapon_flamethrower,0
75,8,9,fire,weapon_scattergun,35,625,weapon_scattergun,40,247,False,5,,weapon_scattergun,weapon_flamethrower,5094
76,8,9,fire,weapon_scattergun,36,603,weapon_scattergun,41,235,False,5,,weapon_scattergun,weapon_flamethrower,5220
77,8,9,fire,weapon_scattergun,36,806,weapon_scattergun,42,315,False,6,,weapon_scattergun,weapon_flamethrower,0
78,8,9,fire,weapon_scattergun,36,616,weapon_scattergun,42,243,False,6,,weapon_scattergun,weapon_flamethrower,0
79,8,9,fire,weapon_scattergun,37,710,weapon_scattergun,42,272,False,5,,weapon_scattergun,weapon_flamethrower,5346
80,8,9,fire,weapon_scattergun,37,714,weapon_scattergun,43,277,False,6,,weapon_scattergun,weapon_flamethrower,2196
81,9,10,physical,weapon_scattergun,37,658,weapon_scattergun,43,253,False,6,,weapon_scattergun,weapon_scattergun,0
82,9,10,physical,weapon_scattergun,37,637,weapon_scattergun,43,242,False,6,,weapon_scattergun,weapon_scattergun,0
83,9,10,physical,weapon_scattergun,37,785,weapon_scattergun,43,290,False,6,,weapon_scattergun,weapon_scattergun,0
84,9,10,physical,weapon_scattergun,38,970,weapon_scattergun,43,362,False,5,,weapon_scattergun,weapon_scattergun,0
85,9,10,physical,weapon_scattergun,38,856,weapon_scattergun,43,327,False,5,,weapon_scattergun,weapon_scattergun,5472
86,9,10,physical,weapon_scattergun,38,856,weapon_scattergun,44,327,False,6,,weapon_scattergun,weapon_scattergun,5598
87,9,10,physical,weapon_scattergun,39,1861,weapon_scattergun,45,710,False,6,,weapon_scattergun,weapon_scattergun,5724
88,9,10,physical,weapon_scattergun,39,832,weapon_scattergun,46,321,False,7,,weapon_scattergun,weapon_scattergun,0
89,9,10,physical,weapon_scattergun,40,947,weapon_scattergun,46,354,False,6,,weapon_scattergun,weapon_scattergun,0
90,9,10,physical,weapon_scattergun,40,1111,weapon_scattergun,46,416,False,6,,weapon_scattergun,weapon_scattergun,0
91,10,10,physical,weapon_scattergun,40,1400,weapon_scattergun,46,524,False,6,,weapon_scattergun,weapon_scattergun,0
92,10,10,physical,weapon_scattergun,40,937,weapon_scattergun,46,341,False,6,,weapon_scattergun,weapon_scattergun,5850
93,10,10,physical,weapon_scattergun,41,972,weapon_scattergun,47,353,False,6,,weapon_scattergun,weapon_scattergun,0
94,10,10,physical,weapon_scattergun,42,3355,weapon_scattergun,47,1181,False,5,,weapon_scattergun,weapon_scattergun,5976
95,10,10,physical,weapon_scattergun,42,1291,weapon_scattergun,48,460,False,6,,weapon_scattergun,weapon_scattergun,6102
96,10,10,physical,weapon_scattergun,43,1046,weapon_scattergun,49,366,False,6,,weapon_scattergun,weapon_scattergun,6228
97,10,10,physical,weapon_scattergun,44,975,weapon_scattergun,50,348,False,6,,weapon_scattergun,weapon_scattergun,0
98,10,10,physical,weapon_scattergun,45,3158,weapon_scattergun,50,1094,False,5,,weapon_scattergun,weapon_scattergun,0
99,10,10,physical,weapon_scattergun,45,976,weapon_scattergun,50,342,False,5,,weapon_scattergun,weapon_scattergun,0
