level,chapter,current_grade,target_grade,grade_delta_steps,current_progress_pct,target_progress_pct,progress_delta_pct,current_base_hp_pct,target_base_hp_pct,base_hp_delta_pct,cleared,unwinnable_reason,target_frozen
82,9,easy,light_pressure,-1,6.25,66.0,-59.75,100.0,100.0,0.0,True,,True
83,9,easy,pressure,-2,0.91,89.0,-88.09,100.0,75.0,25.0,True,,True
84,9,easy,pressure,-2,5.46,89.0,-83.54,100.0,75.0,25.0,True,,True
85,9,high,high,0,100.0,100.0,0.0,99.54,50.0,49.54,True,,True
86,9,easy,pressure,-2,24.9,89.0,-64.1,100.0,75.0,25.0,True,,True
87,9,easy,pressure,-2,0.54,89.0,-88.46,100.0,75.0,25.0,True,,True
88,9,easy,pressure,-2,23.31,89.0,-65.69,100.0,75.0,25.0,True,,True
89,9,easy,pressure,-2,18.05,89.0,-70.95,100.0,75.0,25.0,True,,True
90,9,high,high,0,100.0,100.0,0.0,98.91,50.0,48.91,True,,True
91,10,easy,light_pressure,-1,0.5,66.0,-65.5,100.0,100.0,0.0,True,,True
92,10,easy,pressure,-2,36.5,89.0,-52.5,100.0,75.0,25.0,True,,True
93,10,easy,pressure,-2,46.96,89.0,-42.04,100.0,75.0,25.0,True,,True
94,10,easy,pressure,-2,0.48,89.0,-88.52,100.0,75.0,25.0,True,,True
95,10,high,high,0,100.0,100.0,0.0,91.98,50.0,41.98,True,,True
96,10,easy,pressure,-2,14.51,89.0,-74.49,100.0,75.0,25.0,True,,True
97,10,easy,pressure,-2,5.52,89.0,-83.48,100.0,75.0,25.0,True,,True
98,10,easy,pressure,-2,0.84,89.0,-88.16,100.0,75.0,25.0,True,,True
99,10,high,high,0,100.0,100.0,0.0,98.99,50.0,48.99,True,,True
