level,chapter,grade,grade_zh,max_progress_pct,base_hp_pct,cleared,edge_reached,timed_out,unwinnable_reason,clear_time_seconds,clear_time_cap_seconds,weapon,character_level,weapon_level,armor_level,chip_level,pet_level,signature_level,gold_before,xp_before,stars_before,crowd_dps,boss_dps
29,3,easy,轻松,0.6,100.0,True,False,False,,104.882,180.0,weapon_scattergun,10,21,10,4,0,2,58,164,1,14922.68,1986.19
30,3,high,难度高,100.0,96.98,True,True,False,,125.605,180.0,weapon_scattergun,10,21,10,6,0,2,222,1028,3,16594.73,3464.85
31,4,easy,轻松,0.62,100.0,True,False,False,,98.203,180.0,weapon_scattergun,10,22,10,9,0,2,243,1856,5,17947.65,2388.81
32,4,easy,轻松,0.42,100.0,True,False,False,,108.061,180.0,weapon_scattergun,10,23,10,9,0,2,239,822,7,24301.84,3230.77
33,4,easy,轻松,0.59,100.0,True,False,False,,93.992,180.0,weapon_scattergun,10,24,10,9,0,2,203,1729,1,21754.32,2376.75
34,4,easy,轻松,0.5,100.0,True,False,False,,116.829,180.0,weapon_scattergun,10,24,10,9,0,2,670,456,3,25409.57,3378.03
35,4,high,难度高,100.0,98.5,True,True,False,,86.73,180.0,weapon_scattergun,10,25,10,9,0,2,73,1414,5,26540.02,5292.47
36,4,easy,轻松,0.69,100.0,True,False,False,,95.862,180.0,weapon_scattergun,11,26,10,9,0,2,672,763,7,24630.25,2873.38
37,4,easy,轻松,0.39,100.0,True,False,False,,109.913,180.0,weapon_scattergun,11,27,10,10,0,2,171,1774,9,30988.22,4119.67
38,4,easy,轻松,0.61,100.0,True,False,False,,119.117,180.0,weapon_scattergun,11,28,10,11,0,2,43,930,11,28325.25,3094.66
39,4,easy,轻松,0.3,100.0,True,False,False,,124.94,180.0,weapon_scattergun,11,29,10,11,0,2,793,125,13,34428.47,4577.03
40,4,high,难度高,100.0,98.67,True,True,False,,99.335,180.0,weapon_scattergun,11,30,10,11,0,2,730,1101,15,35797.36,7138.52
41,5,easy,轻松,0.35,100.0,True,False,False,,112.501,180.0,weapon_scattergun,11,31,10,12,0,2,34,409,1,37563.27,3777.76
42,5,easy,轻松,0.26,100.0,True,False,False,,121.405,180.0,weapon_scattergun,12,32,10,12,0,2,224,1719,3,41704.54,5473.86
43,5,easy,轻松,0.52,100.0,True,False,False,,129.288,180.0,weapon_scattergun,12,33,10,12,0,3,765,83,5,44981.02,4579.3
44,5,easy,轻松,0.3,100.0,True,False,False,,103.251,180.0,weapon_scattergun,12,34,10,12,0,3,54,1394,7,52218.86,6368.19
45,5,high,难度高,100.0,98.8,True,True,False,,101.515,180.0,weapon_scattergun,12,35,10,12,0,3,477,640,9,54097.58,9895.95
46,5,easy,轻松,0.48,100.0,True,False,False,,121.852,180.0,weapon_scattergun,12,36,10,12,0,3,420,14,1,52882.73,5627.39
47,5,easy,轻松,0.33,100.0,True,False,False,,130.877,180.0,weapon_scattergun,12,37,10,12,0,3,724,1340,3,54070.84,7526.39
48,5,easy,轻松,0.85,100.0,True,False,False,,104.903,180.0,weapon_scattergun,12,38,10,12,0,3,60,2398,5,50595.86,5679.92
49,5,easy,轻松,0.39,100.0,True,False,False,,109.788,180.0,weapon_scattergun,12,39,10,12,0,3,179,3810,7,52288.37,5869.93
50,5,high,难度高,100.0,98.49,True,True,False,,122.106,180.0,weapon_scattergun,12,40,10,12,3,3,15,1013,1,77448.38,16170.63
51,6,easy,轻松,26.37,100.0,True,False,False,,36.284,180.0,weapon_scattergun,12,41,10,12,5,3,180,2828,3,92022.1,11853.19
52,6,easy,轻松,1.11,100.0,True,False,False,,26.73,180.0,weapon_scattergun,12,41,10,12,6,3,225,3776,5,83261.79,7641.32
53,6,easy,轻松,12.76,100.0,True,False,False,,22.08,180.0,weapon_scattergun,12,41,10,12,7,3,148,1543,7,89946.83,8719.87
54,6,easy,轻松,21.35,100.0,True,False,False,,28.497,180.0,weapon_scattergun,12,41,10,12,8,3,241,2879,9,84492.11,9231.12
55,6,easy,轻松,21.65,100.0,True,False,False,,47.564,180.0,weapon_scattergun,13,41,10,12,8,3,97,550,11,150298.67,32034.07
56,6,easy,轻松,19.05,100.0,True,False,False,,27.324,180.0,weapon_scattergun,13,41,10,12,8,3,410,2348,13,89080.63,8175.34
57,6,easy,轻松,13.87,100.0,True,False,False,,60.794,180.0,weapon_scattergun,13,41,10,12,9,3,58,3897,15,95544.01,8768.52
58,6,easy,轻松,27.33,100.0,True,False,False,,38.195,180.0,weapon_scattergun,13,41,11,12,9,3,281,1427,17,103188.4,12982.7
59,6,light_pressure,略有压力,52.12,100.0,True,False,False,,44.31,180.0,weapon_scattergun,14,41,11,12,9,3,53,3050,19,106132.56,9740.28
60,6,unwinnable,不可胜,100.0,0.0,False,True,False,base_destroyed,113.892,190.0,weapon_scattergun,14,41,11,12,9,3,456,905,21,111040.95,15286.11
61,7,easy,轻松,37.42,100.0,True,False,False,,39.396,190.0,weapon_scattergun,14,41,11,12,9,3,582,3154,23,106019.32,10639.83
62,7,easy,轻松,33.13,100.0,True,False,False,,38.054,190.0,weapon_scattergun,14,41,11,12,9,3,270,684,25,106132.56,9740.28
63,7,easy,轻松,0.75,100.0,True,False,False,,28.748,190.0,weapon_scattergun,14,41,11,13,9,3,171,2360,27,219294.14,10894.02
64,7,easy,轻松,45.44,100.0,True,False,False,,50.513,190.0,weapon_scattergun,14,41,11,13,9,3,729,3613,29,102131.72,9373.1
65,7,light_pressure,略有压力,61.06,100.0,True,False,False,,44.06,190.0,weapon_scattergun,14,41,11,13,9,4,693,235,31,300742.43,54289.3
66,7,easy,轻松,43.23,100.0,True,False,False,,42.887,190.0,weapon_scattergun,14,41,11,13,9,4,551,2621,33,238566.04,11851.4
67,7,light_pressure,略有压力,62.27,100.0,True,False,False,,77.868,190.0,weapon_scattergun,14,41,11,13,10,4,32,818,35,120294.24,11039.96
68,7,high,难度高,100.0,72.5,True,True,False,,93.325,190.0,weapon_scattergun,15,41,11,13,10,4,54,2549,37,142835.92,12445.02
69,7,easy,轻松,0.89,100.0,True,False,False,,36.607,190.0,weapon_scattergun,15,41,12,13,10,4,210,775,39,350607.18,16684.29
70,7,high,难度高,100.0,99.44,True,True,False,,39.541,245.0,weapon_scattergun,15,41,12,13,10,4,199,2631,41,406026.32,78040.61
71,8,easy,轻松,8.8,100.0,True,False,False,,33.328,245.0,weapon_scattergun,16,41,12,13,10,4,336,1073,43,343768.7,16358.87
72,8,easy,轻松,1.8,100.0,True,False,False,,35.83,245.0,weapon_scattergun,16,41,12,13,10,4,754,3383,45,367832.51,17503.99
73,8,easy,轻松,0.65,100.0,True,False,False,,29.799,245.0,weapon_scattergun,16,41,12,13,11,4,26,1629,47,382596.86,17177.25
74,8,easy,轻松,3.22,100.0,True,False,False,,50.069,245.0,weapon_scattergun,16,41,12,13,11,4,605,4111,49,398401.91,18958.69
75,8,light_pressure,略有压力,98.0,100.0,True,False,False,,60.873,245.0,weapon_scattergun,16,42,12,13,11,4,256,6366,51,839544.81,161365.37
76,8,easy,轻松,47.33,100.0,True,False,False,,47.089,245.0,weapon_scattergun,16,43,12,13,11,4,38,21,53,452827.98,21548.65
77,8,easy,轻松,1.18,100.0,True,False,False,,45.116,245.0,weapon_scattergun,16,43,12,13,11,4,273,2380,55,561397.33,24286.83
78,8,easy,轻松,17.05,100.0,True,False,False,,50.711,245.0,weapon_scattergun,16,43,12,13,11,4,345,4621,57,411362.62,19575.45
79,8,easy,轻松,1.15,100.0,True,False,False,,44.101,245.0,weapon_scattergun,16,43,12,14,11,4,307,6992,59,463393.96,22051.46
80,8,easy,轻松,20.29,100.0,True,False,False,,54.489,310.0,weapon_scattergun,17,43,12,14,11,4,65,905,61,1068494.8,205370.88
81,9,easy,轻松,0.7,100.0,True,False,False,,30.885,310.0,weapon_scattergun,17,43,12,14,11,4,493,4311,63,535962.98,24479.12
82,9,easy,轻松,6.34,100.0,True,False,False,,33.658,310.0,weapon_scattergun,17,43,12,14,11,4,405,6632,65,529993.77,21800.5
83,9,easy,轻松,1.38,100.0,True,False,False,,44.525,310.0,weapon_scattergun,17,43,12,14,11,4,822,435,67,526255.32,25042.83
84,9,easy,轻松,11.24,100.0,True,False,False,,32.365,310.0,weapon_scattergun,17,44,12,14,11,4,536,2805,69,1122051.47,47775.92
85,9,high,难度高,100.0,99.54,True,True,False,,43.599,310.0,weapon_scattergun,17,44,13,14,11,4,66,5402,71,1144310.3,219943.06
86,9,easy,轻松,23.45,100.0,True,False,False,,48.923,310.0,weapon_scattergun,17,45,13,14,11,4,591,386,73,558079.53,26557.24
87,9,easy,轻松,0.53,100.0,True,False,False,,47.417,310.0,weapon_scattergun,17,46,13,14,11,4,723,2991,75,1188879.02,50621.38
88,9,easy,轻松,15.23,100.0,True,False,False,,35.515,310.0,weapon_scattergun,17,47,13,14,11,4,564,5922,77,590822.85,28115.4
89,9,easy,轻松,27.07,100.0,True,False,False,,31.647,310.0,weapon_scattergun,17,47,13,15,11,4,124,468,79,624088.1,25602.26
90,9,high,难度高,100.0,98.93,True,True,False,,36.783,350.0,weapon_scattergun,17,47,14,15,11,4,121,3402,81,1532255.99,233258.48
91,10,easy,轻松,0.48,100.0,True,False,False,,29.562,350.0,weapon_scattergun,17,47,14,15,11,4,87,6716,83,1250892.39,53261.85
92,10,easy,轻松,40.64,100.0,True,False,False,,51.195,350.0,weapon_scattergun,17,47,14,15,11,4,704,358,85,538011.38,25602.26
93,10,easy,轻松,46.04,100.0,True,False,False,,38.298,350.0,weapon_scattergun,17,48,14,16,11,4,439,3413,87,704462.73,33523.16
94,10,easy,轻松,0.49,100.0,True,False,False,,39.749,350.0,weapon_scattergun,17,49,14,16,11,4,178,5275,89,2260154.02,96235.29
95,10,high,难度高,100.0,98.98,True,True,False,,42.206,350.0,weapon_scattergun,17,50,14,16,11,4,337,110,91,2102509.61,258977.06
96,10,easy,轻松,15.65,100.0,True,False,False,,54.181,350.0,weapon_scattergun,17,50,14,17,11,4,393,2954,93,809276.74,31949.47
97,10,easy,轻松,13.43,100.0,True,False,False,,48.517,350.0,weapon_scattergun,18,50,15,17,11,4,453,5857,95,791846.94,37681.5
98,10,easy,轻松,0.38,100.0,True,False,False,,36.526,350.0,weapon_scattergun,18,50,15,17,12,4,195,109,97,5500625.96,234211.62
99,10,high,难度高,100.0,99.41,True,True,False,,45.764,460.0,weapon_scattergun,19,50,16,17,12,4,22,2773,99,2355735.67,290168.24
