Plan: 86 unique captures; HEAD=663618d722ebacb0131eefd3061b5381088e65ac
[25/86] frost_neon_tempest_weapon_scattergun_fire_1080x1920: 2.543s exit=0 issues=[]
[26/86] frost_neon_tempest_weapon_scattergun_idle_1080x1920: 2.597s exit=0 issues=[]
[27/86] frost_polar_aurora_weapon_scattergun_fire_1080x1920: 2.545s exit=0 issues=[]
[28/86] frost_polar_aurora_weapon_scattergun_idle_1080x1920: 2.581s exit=0 issues=[]
[29/86] vanguard_default_weapon_scattergun_fire_1080x1920: 2.496s exit=0 issues=[]
[30/86] vanguard_default_weapon_scattergun_fire_1320x2868: 3.384s exit=0 issues=[]
[31/86] vanguard_default_weapon_scattergun_fire_750x1334: 2.03s exit=0 issues=[]
[32/86] vanguard_default_weapon_scattergun_idle_1080x1920: 2.545s exit=0 issues=[]
[33/86] vanguard_default_weapon_scattergun_idle_1320x2868: 3.313s exit=0 issues=[]
[34/86] vanguard_default_weapon_scattergun_idle_750x1334: 2.045s exit=0 issues=[]
[35/86] vanguard_gilded_eclipse_weapon_scattergun_fire_1080x1920: 2.462s exit=0 issues=[]
[36/86] vanguard_gilded_eclipse_weapon_scattergun_idle_1080x1920: 2.571s exit=0 issues=[]
[37/86] vanguard_infernal_dominion_weapon_scattergun_fire_1080x1920: 2.594s exit=0 issues=[]
[38/86] vanguard_infernal_dominion_weapon_scattergun_idle_1080x1920: 2.513s exit=0 issues=[]
[39/86] vanguard_neon_tempest_weapon_scattergun_fire_1080x1920: 2.472s exit=0 issues=[]
[40/86] vanguard_neon_tempest_weapon_scattergun_idle_1080x1920: 2.55s exit=0 issues=[]
[41/86] vanguard_polar_aurora_weapon_scattergun_fire_1080x1920: 2.572s exit=0 issues=[]
[42/86] vanguard_polar_aurora_weapon_scattergun_idle_1080x1920: 2.522s exit=0 issues=[]
[43/86] volt_default_weapon_scattergun_fire_1080x1920: 2.491s exit=0 issues=[]
[44/86] volt_default_weapon_scattergun_idle_1080x1920: 2.499s exit=0 issues=[]
[45/86] blaze_default_weapon_autocannon_fire_1080x1920: 2.513s exit=0 issues=[]
[46/86] blaze_default_weapon_autocannon_idle_1080x1920: 2.499s exit=0 issues=[]
[47/86] blaze_default_weapon_cryocannon_fire_1080x1920: 2.572s exit=0 issues=[]
[48/86] blaze_default_weapon_cryocannon_idle_1080x1920: 2.501s exit=0 issues=[]
[49/86] blaze_default_weapon_flamethrower_fire_1080x1920: 2.535s exit=0 issues=[]
[50/86] blaze_default_weapon_flamethrower_idle_1080x1920: 2.537s exit=0 issues=[]
[51/86] blaze_default_weapon_plasmacannon_fire_1080x1920: 2.53s exit=0 issues=[]
[52/86] blaze_default_weapon_plasmacannon_idle_1080x1920: 2.495s exit=0 issues=[]
[53/86] blaze_default_weapon_railgun_fire_1080x1920: 2.558s exit=0 issues=[]
[54/86] blaze_default_weapon_railgun_idle_1080x1920: 2.447s exit=0 issues=[]
[55/86] blaze_default_weapon_teslacoil_fire_1080x1920: 2.517s exit=0 issues=[]
[56/86] blaze_default_weapon_teslacoil_idle_1080x1920: 2.511s exit=0 issues=[]
[57/86] blaze_default_weapon_venomlauncher_fire_1080x1920: 2.507s exit=0 issues=[]
[58/86] blaze_default_weapon_venomlauncher_idle_1080x1920: 2.508s exit=0 issues=[]
[59/86] frost_default_weapon_autocannon_fire_1080x1920: 2.525s exit=0 issues=[]
[60/86] frost_default_weapon_autocannon_idle_1080x1920: 2.526s exit=0 issues=[]
[61/86] frost_default_weapon_cryocannon_fire_1080x1920: 2.528s exit=0 issues=[]
[62/86] frost_default_weapon_cryocannon_idle_1080x1920: 2.477s exit=0 issues=[]
[63/86] frost_default_weapon_flamethrower_fire_1080x1920: 2.516s exit=0 issues=[]
[64/86] frost_default_weapon_flamethrower_idle_1080x1920: 2.499s exit=0 issues=[]
[65/86] frost_default_weapon_plasmacannon_fire_1080x1920: 2.578s exit=0 issues=[]
[66/86] frost_default_weapon_plasmacannon_idle_1080x1920: 2.509s exit=0 issues=[]
[67/86] frost_default_weapon_railgun_fire_1080x1920: 2.554s exit=0 issues=[]
[68/86] frost_default_weapon_railgun_idle_1080x1920: 2.474s exit=0 issues=[]
[69/86] frost_default_weapon_teslacoil_fire_1080x1920: 2.545s exit=0 issues=[]
[70/86] frost_default_weapon_teslacoil_idle_1080x1920: 2.513s exit=0 issues=[]
[71/86] frost_default_weapon_venomlauncher_fire_1080x1920: 2.527s exit=0 issues=[]
[72/86] frost_default_weapon_venomlauncher_idle_1080x1920: 2.535s exit=0 issues=[]
[73/86] vanguard_default_weapon_autocannon_fire_1080x1920: 2.549s exit=0 issues=[]
[74/86] vanguard_default_weapon_autocannon_idle_1080x1920: 2.493s exit=0 issues=[]
[75/86] vanguard_default_weapon_cryocannon_fire_1080x1920: 2.541s exit=0 issues=[]
[76/86] vanguard_default_weapon_cryocannon_idle_1080x1920: 2.487s exit=0 issues=[]
[77/86] vanguard_default_weapon_flamethrower_fire_1080x1920: 2.535s exit=0 issues=[]
[78/86] vanguard_default_weapon_flamethrower_idle_1080x1920: 2.494s exit=0 issues=[]
[79/86] vanguard_default_weapon_plasmacannon_fire_1080x1920: 2.527s exit=0 issues=[]
[80/86] vanguard_default_weapon_plasmacannon_idle_1080x1920: 2.465s exit=0 issues=[]
[81/86] vanguard_default_weapon_railgun_fire_1080x1920: 2.5s exit=0 issues=[]
[82/86] vanguard_default_weapon_railgun_idle_1080x1920: 2.547s exit=0 issues=[]
[83/86] vanguard_default_weapon_teslacoil_fire_1080x1920: 2.476s exit=0 issues=[]
[84/86] vanguard_default_weapon_teslacoil_idle_1080x1920: 2.512s exit=0 issues=[]
[85/86] vanguard_default_weapon_venomlauncher_fire_1080x1920: 2.511s exit=0 issues=[]
[86/86] vanguard_default_weapon_venomlauncher_idle_1080x1920: 2.508s exit=0 issues=[]
