$ godot --headless --path . --script res://design/audits/heroes_armed_idle_2026_09_18/verify_transitions.gd
Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

ARMED_REST vanguard/weapon_autocannon aim=(0.0, -1.0) three cycles passed
ARMED_REST blaze/weapon_venomlauncher aim=(0.75, -0.66) three cycles passed
ARMED_REST blaze/weapon_railgun aim=(0.0, -1.0) three cycles passed
ARMED_REST blaze/weapon_railgun aim=(-0.75, -0.66) three cycles passed
ARMED_REST blaze/weapon_railgun aim=(0.75, -0.66) three cycles passed
ARMED_REST blaze/weapon_scattergun aim=(0.0, -1.0) three cycles passed
ARMED_REST blaze/weapon_scattergun aim=(-0.75, -0.66) three cycles passed
ARMED_REST blaze/weapon_scattergun aim=(0.75, -0.66) three cycles passed
ARMED_REST blaze/weapon_plasmacannon aim=(0.0, -1.0) three cycles passed
ARMED_REST blaze/weapon_plasmacannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST blaze/weapon_plasmacannon aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_autocannon aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_autocannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_autocannon aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_flamethrower aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_flamethrower aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_flamethrower aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_cryocannon aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_cryocannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_cryocannon aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_teslacoil aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_teslacoil aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_teslacoil aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_venomlauncher aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_venomlauncher aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_venomlauncher aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_railgun aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_railgun aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_railgun aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_scattergun aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_scattergun aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_scattergun aim=(0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_plasmacannon aim=(0.0, -1.0) three cycles passed
ARMED_REST frost/weapon_plasmacannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST frost/weapon_plasmacannon aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_autocannon aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_autocannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_autocannon aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_flamethrower aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_flamethrower aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_flamethrower aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_cryocannon aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_cryocannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_cryocannon aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_teslacoil aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_teslacoil aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_teslacoil aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_venomlauncher aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_venomlauncher aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_venomlauncher aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_railgun aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_railgun aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_railgun aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_scattergun aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_scattergun aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_scattergun aim=(0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_plasmacannon aim=(0.0, -1.0) three cycles passed
ARMED_REST volt/weapon_plasmacannon aim=(-0.75, -0.66) three cycles passed
ARMED_REST volt/weapon_plasmacannon aim=(0.75, -0.66) three cycles passed
All-hero armed-rest transition regression: 0 failures
