Plan: 84 unique captures; HEAD=a80b2820ea932166ab0ce526f835f830f9825772
[29/84] gilded_eclipse_weapon_autocannon_fire_1080x1920: 2.517s exit=0 issues=[]
[30/84] gilded_eclipse_weapon_autocannon_idle_1080x1920: 2.58s exit=0 issues=[]
[31/84] gilded_eclipse_weapon_cryocannon_fire_1080x1920: 2.515s exit=0 issues=[]
[32/84] gilded_eclipse_weapon_cryocannon_idle_1080x1920: 2.502s exit=0 issues=[]
[33/84] gilded_eclipse_weapon_flamethrower_fire_1080x1920: 2.515s exit=0 issues=[]
[34/84] gilded_eclipse_weapon_flamethrower_idle_1080x1920: 2.558s exit=0 issues=[]
[35/84] gilded_eclipse_weapon_plasmacannon_fire_1080x1920: 2.553s exit=0 issues=[]
[36/84] gilded_eclipse_weapon_plasmacannon_idle_1080x1920: 2.486s exit=0 issues=[]
[37/84] gilded_eclipse_weapon_railgun_fire_1080x1920: 2.578s exit=0 issues=[]
[38/84] gilded_eclipse_weapon_railgun_idle_1080x1920: 2.527s exit=0 issues=[]
[39/84] gilded_eclipse_weapon_teslacoil_fire_1080x1920: 2.532s exit=0 issues=[]
[40/84] gilded_eclipse_weapon_teslacoil_idle_1080x1920: 2.531s exit=0 issues=[]
[41/84] gilded_eclipse_weapon_venomlauncher_fire_1080x1920: 2.535s exit=0 issues=[]
[42/84] gilded_eclipse_weapon_venomlauncher_idle_1080x1920: 2.546s exit=0 issues=[]
[43/84] infernal_dominion_weapon_autocannon_fire_1080x1920: 2.512s exit=0 issues=[]
[44/84] infernal_dominion_weapon_autocannon_idle_1080x1920: 2.502s exit=0 issues=[]
[45/84] infernal_dominion_weapon_cryocannon_fire_1080x1920: 2.584s exit=0 issues=[]
[46/84] infernal_dominion_weapon_cryocannon_idle_1080x1920: 2.577s exit=0 issues=[]
[47/84] infernal_dominion_weapon_flamethrower_fire_1080x1920: 2.548s exit=0 issues=[]
[48/84] infernal_dominion_weapon_flamethrower_idle_1080x1920: 2.502s exit=0 issues=[]
[49/84] infernal_dominion_weapon_plasmacannon_fire_1080x1920: 2.555s exit=0 issues=[]
[50/84] infernal_dominion_weapon_plasmacannon_idle_1080x1920: 2.493s exit=0 issues=[]
[51/84] infernal_dominion_weapon_railgun_fire_1080x1920: 2.529s exit=0 issues=[]
[52/84] infernal_dominion_weapon_railgun_idle_1080x1920: 2.548s exit=0 issues=[]
[53/84] infernal_dominion_weapon_teslacoil_fire_1080x1920: 2.513s exit=0 issues=[]
[54/84] infernal_dominion_weapon_teslacoil_idle_1080x1920: 2.521s exit=0 issues=[]
[55/84] infernal_dominion_weapon_venomlauncher_fire_1080x1920: 2.546s exit=0 issues=[]
[56/84] infernal_dominion_weapon_venomlauncher_idle_1080x1920: 2.566s exit=0 issues=[]
[57/84] neon_tempest_weapon_autocannon_fire_1080x1920: 2.551s exit=0 issues=[]
[58/84] neon_tempest_weapon_autocannon_idle_1080x1920: 2.516s exit=0 issues=[]
[59/84] neon_tempest_weapon_cryocannon_fire_1080x1920: 2.585s exit=0 issues=[]
[60/84] neon_tempest_weapon_cryocannon_idle_1080x1920: 2.584s exit=0 issues=[]
[61/84] neon_tempest_weapon_flamethrower_fire_1080x1920: 2.576s exit=0 issues=[]
[62/84] neon_tempest_weapon_flamethrower_idle_1080x1920: 2.514s exit=0 issues=[]
[63/84] neon_tempest_weapon_plasmacannon_fire_1080x1920: 2.521s exit=0 issues=[]
[64/84] neon_tempest_weapon_plasmacannon_idle_1080x1920: 2.625s exit=0 issues=[]
[65/84] neon_tempest_weapon_railgun_fire_1080x1920: 2.684s exit=0 issues=[]
[66/84] neon_tempest_weapon_railgun_idle_1080x1920: 2.557s exit=0 issues=[]
[67/84] neon_tempest_weapon_teslacoil_fire_1080x1920: 2.548s exit=0 issues=[]
[68/84] neon_tempest_weapon_teslacoil_idle_1080x1920: 2.562s exit=0 issues=[]
[69/84] neon_tempest_weapon_venomlauncher_fire_1080x1920: 2.565s exit=0 issues=[]
[70/84] neon_tempest_weapon_venomlauncher_idle_1080x1920: 2.532s exit=0 issues=[]
[71/84] polar_aurora_weapon_autocannon_fire_1080x1920: 2.488s exit=0 issues=[]
[72/84] polar_aurora_weapon_autocannon_idle_1080x1920: 2.522s exit=0 issues=[]
[73/84] polar_aurora_weapon_cryocannon_fire_1080x1920: 2.554s exit=0 issues=[]
[74/84] polar_aurora_weapon_cryocannon_idle_1080x1920: 2.499s exit=0 issues=[]
[75/84] polar_aurora_weapon_flamethrower_fire_1080x1920: 2.519s exit=0 issues=[]
[76/84] polar_aurora_weapon_flamethrower_idle_1080x1920: 2.565s exit=0 issues=[]
[77/84] polar_aurora_weapon_plasmacannon_fire_1080x1920: 2.547s exit=0 issues=[]
[78/84] polar_aurora_weapon_plasmacannon_idle_1080x1920: 2.543s exit=0 issues=[]
[79/84] polar_aurora_weapon_railgun_fire_1080x1920: 2.514s exit=0 issues=[]
[80/84] polar_aurora_weapon_railgun_idle_1080x1920: 2.57s exit=0 issues=[]
[81/84] polar_aurora_weapon_teslacoil_fire_1080x1920: 2.504s exit=0 issues=[]
[82/84] polar_aurora_weapon_teslacoil_idle_1080x1920: 2.556s exit=0 issues=[]
[83/84] polar_aurora_weapon_venomlauncher_fire_1080x1920: 2.537s exit=0 issues=[]
[84/84] polar_aurora_weapon_venomlauncher_idle_1080x1920: 2.574s exit=0 issues=[]
